name,type,object,version,zh_CN,ja_JP,en_US
skchr_absin_1,skchr,absin,1,执法模式,執行態勢,Enforcement Mode
skchr_absin_2,skchr,absin,2,终结连射,告死の弾雨,Ultimatum
skchr_acast_1,skchr,acast,1,“为我所为”,「我が成すことを成せ」,'All That I Do'
skchr_accast_1,skchr,accast,1,“书我所书”,「我が記すものを記せ」,'All That I Author'
skchr_accast_2,skchr,accast,2,“为我所为”,「我が成すことを成せ」,'All That I Do'
skchr_accast_3,skchr,accast,3,“驭我所驭”,「我が御すものを御せ」,'All That I Command'
skchr_acdrop_1,skchr,acdrop,1,花式点射,ファンシーショット,Fancy Shot
skchr_acdrop_2,skchr,acdrop,2,扳机时刻,ダブルトリガー,Trigger Time
skchr_acfend_1,skchr,acfend,1,结构稳定,構造堅牢化,Structural Stability
skchr_acfend_2,skchr,acfend,2,不变性原理,不変性原理,Invariance Principle
skchr_acfend_3,skchr,acfend,3,应力倒置,応力反転,Stress Inversion
skchr_acguad_1,skchr,acguad,1,快刀,快刀,Swiftblade
skchr_acguad_2,skchr,acguad,2,亮剑,鋭刃,Drawing Sword
skchr_acguad_3,skchr,acguad,3,力战不竭,死力,To The Bitter End
skchr_acmedc_1,skchr,acmedc,1,慨赠,高潔なる贈与,Generous Gift
skchr_acmedc_2,skchr,acmedc,2,宛如天启,天啓の光,Apocalyptic Scene
skchr_acmedc_3,skchr,acmedc,3,恳切福音,懇願の福音,Earnest Gospel
skchr_acnipe_1,skchr,acnipe,1,破空,破空,Skyshatter
skchr_acnipe_2,skchr,acnipe,2,心手合一,心技一体,One With the Bow
skchr_acnipe_3,skchr,acnipe,3,旋臂,旋風矢,Pronation
skchr_acpion_1,skchr,acpion,1,钻心,貫心,Estocada
skchr_acpion_2,skchr,acpion,2,迅瞬,瞬迅,Ráfaga
skchr_acpion_3,skchr,acpion,3,只余芬芳,残り香,Lingering Scent
skchr_acspec_1,skchr,acspec,1,物理的服从,服従せし法則,When Physics Obeys
skchr_acspec_2,skchr,acspec,2,战争的恭顺,恭順せし戦争,When War Complies
skchr_acspec_3,skchr,acspec,3,空间的归依,帰依せし空間,When Space Surrenders
skchr_acsupo_1,skchr,acsupo,1,双声,双音,Diphony
skchr_acsupo_2,skchr,acsupo,2,三形,三形,Triform
skchr_acsupo_3,skchr,acsupo,3,信号跃动,躍動するシグナル,Impulse Signal
skchr_aglina_1,skchr,aglina,1,秘杖·速充模式,秘杖・急収束　,Arcane Staff - Quick Charge Mode
skchr_aglina_2,skchr,aglina,2,秘杖·微粒模式,秘杖・微粒子,Arcane Staff - Particle Mode
skchr_aglina_3,skchr,aglina,3,秘杖·反重力模式,秘杖・反重力,Arcane Staff - Anti-Gravity Mode
skchr_agoat2_1,skchr,agoat2,1,无声润物,無垢なる恵み,Soundless Sustenance
skchr_agoat2_2,skchr,agoat2,2,云霭荫佑,雲煙の庇護,Cloudmist Shelter
skchr_agoat2_3,skchr,agoat2,3,火山回响,ヴォルケーノ・エコー,Volcanic Echoes
skchr_aguard_1,skchr,aguard,1,亮剑,鋭刃,Drawing Sword
skchr_akafyu_1,skchr,akafyu,1,信影流·雷刀之势,信影流・雷刀之勢,Nobukage-ryu - Kaminari Gatana no Zei
skchr_akafyu_2,skchr,akafyu,2,信影流·十文字胜,信影流・十文字勝,Nobukage-ryu - Juumonji Masaru
skchr_alanna_1,skchr,alanna,1,气动增压,-,-
skchr_alanna_2,skchr,alanna,2,“万斤顶”,-,-
skchr_almond_1,skchr,almond,1,磁力抓取,マグネットキャッチャー,Magnetic Grab
skchr_almond_2,skchr,almond,2,强力牵引,ハイパートラクション,Power Traction
skchr_amedic_1,skchr,amedic,1,宛如天启,天啓の光,Apocalyptic Scene
skchr_amgoat_1,skchr,amgoat,1,二重咏唱,二重詠唱,Duetto
skchr_amgoat_2,skchr,amgoat,2,点燃,イグニッション,Ignition
skchr_amgoat_3,skchr,amgoat,3,火山,イラプション,Volcano
skchr_amiya2_1,skchr,amiya2,1,影霄·奔夜,影霄・奔夜,Ying Xiao - Fleeting Night
skchr_amiya2_2,skchr,amiya2,2,影霄·绝影,影霄・絶影,Ying Xiao - Shadowless
skchr_amiya3_1,skchr,amiya3,1,哀恸共情,悲痛共感,Empathy of Grief
skchr_amiya3_2,skchr,amiya3,2,慈悲愿景,慈悲先途,Vision of Mercy
skchr_amiya_2,skchr,amiya,2,精神爆发,ソウルブースト,Spirit Burst
skchr_amiya_3,skchr,amiya,3,奇美拉,キメラ,Chimera
skchr_angel2_1,skchr,angel2,1,天空大扫除,-,-
skchr_angel2_2,skchr,angel2,2,开火成瘾症,-,-
skchr_angel2_3,skchr,angel2,3,使命必达！,-,-
skchr_angel_1,skchr,angel,1,冲锋模式,アサルトモード,Charging Mode
skchr_angel_2,skchr,angel,2,扫射模式,バーストモード,Shooting Mode
skchr_angel_3,skchr,angel,3,过载模式,オーバーロード,Overloading Mode
skchr_aosta_2,skchr,aosta,2,影钉,影縫い釘,Shadow Nails
skchr_apionr_1,skchr,apionr,1,只余芬芳,残り香,Lingering Scent
skchr_aprl_1,skchr,aprl,1,精准射击,精密射撃,Precise Shooting
skchr_aprl_2,skchr,aprl,2,灵活伪装,コンシールメント,Flexible Camouflage
skchr_aprot2_1,skchr,aprot2,1,速战速决,短期決戦,Rapid Onslaught
skchr_aprot2_2,skchr,aprot2,2,燃命狂欢,群蛇の狂宴,Carnival of Self-Immolation
skchr_aprot_1,skchr,aprot,1,速战速决,短期決戦,Rapid Onslaught
skchr_archet_1,skchr,archet,1,箭矢·散逸,飛散の矢,Dispersing Arrows
skchr_archet_2,skchr,archet,2,箭矢·追猎,追討の矢,Pursuing Arrows
skchr_archet_3,skchr,archet,3,箭矢·暴风,暴風の矢,Thundering Arrows
skchr_aroma_1,skchr,aroma,1,强效清洁,強力洗浄,Power Cleaning
skchr_aroma_2,skchr,aroma,2,小心地滑,スリップ注意,Caution! Wet Floor!
skchr_asbest_1,skchr,asbest,1,固守模式,堅守モード,Resilient Mode
skchr_asbest_2,skchr,asbest,2,火电模式,爆炎モード,Thermal Power Mode
skchr_ascln_1,skchr,ascln,1,追袭,追襲,Pursuit
skchr_ascln_2,skchr,ascln,2,恩赐,恩賜,Endowment
skchr_ascln_3,skchr,ascln,3,降临,降臨,Descent
skchr_ash_1,skchr,ash,1,支援射击,援護射撃,Supporting Fire
skchr_ash_2,skchr,ash,2,突击战术,突撃戦法,Assault Tactics
skchr_ash_3,skchr,ash,3,攻坚榴弹,ブリーチング弾,Breaching Rounds
skchr_ashlok_2,skchr,ashlok,2,专注轰击,砲撃専念,Focused Bombardment
skchr_asnipe_1,skchr,asnipe,1,旋臂,旋風矢,Pronation
skchr_astesi_1,skchr,astesi,1,星座守护,星座の守護,Astral Protection
skchr_astesi_2,skchr,astesi,2,星辉剑,星輝剣,Astral Sword
skchr_aurora_1,skchr,aurora,1,固守家园,故郷の守り人,Homeland Protector
skchr_aurora_2,skchr,aurora,2,人工降雪,人工降雪,Artificial Snowfall
skchr_ayer_1,skchr,ayer,1,多导向散射弹丸,多目標型散弾,Shrapnel Burst
skchr_ayer_2,skchr,ayer,2,浮游刃启动,ブレイドビット起動,Activate Phase Blades
skchr_baslin_1,skchr,baslin,1,急救,応急処置,First Aid
skchr_baslin_2,skchr,baslin,2,沉音宁神,低音の調べ,Calming Bass
skchr_bdhkgt_1,skchr,bdhkgt,1,探前路,前路を調べ,Seeking a Path
skchr_bdhkgt_2,skchr,bdhkgt,2,掷旧尘,旧塵を擲つ,Dust of Days Past
skchr_beewax_1,skchr,beewax,1,沙暴扩散,砂嵐拡散,Growing Sandstorm
skchr_beewax_2,skchr,beewax,2,守卫尖碑,オベリスク召喚,Guardian Obelisk
skchr_bena_1,skchr,bena,1,奋力修剪,フルトリミング,Fervent Trimming
skchr_bena_2,skchr,bena,2,快速修剪,クイッククロップ,Rapid Trimming
skchr_bgsnow_1,skchr,bgsnow,1,抑扬格,イアンボス,Iamb
skchr_bgsnow_2,skchr,bgsnow,2,点题,リフレイン,Précis
skchr_bgsnow_3,skchr,bgsnow,3,锐笔速写,レザーシャープペン,Opprobrium
skchr_bibeak_1,skchr,bibeak,1,飞针剑羽,剣羽飛針,Plumage Pins
skchr_bibeak_2,skchr,bibeak,2,异刃斩,異刃斬,Blade Swap
skchr_billro_1,skchr,billro,1,沙暴守卫,熱砂護陣,Sandstorm Guardian
skchr_billro_2,skchr,billro,2,沙缚镣锁,砂縛地獄,Sand Fetters
skchr_billro_3,skchr,billro,3,食噬之印,喰殺ノ刻印,Mark of Gluttony
skchr_bison_2,skchr,bison,2,深化阵线,戦線強化,Intensified Defense
skchr_blackd_2,skchr,blackd,2,冲锋号令·防御,突撃指令・防御,Command - Defense
skchr_blaze2_1,skchr,blaze2,1,炙手之援,-,-
skchr_blaze2_2,skchr,blaze2,2,沸血燎原,-,-
skchr_blaze2_3,skchr,blaze2,3,众恶的焚场,-,-
skchr_bldsk_1,skchr,bldsk,1,紧急包扎,救急包帯法,Emergency Triage
skchr_bldsk_2,skchr,bldsk,2,不稳定血浆,不安定血漿,Unstable Plasma
skchr_blemsh_1,skchr,blemsh,1,光芒涌动,光芒奔溢,Surging Brilliance
skchr_blemsh_2,skchr,blemsh,2,慑敌辉光,破邪輝光,Deterring Radiance
skchr_blemsh_3,skchr,blemsh,3,先贤化身,英霊顕現,Divine Avatar
skchr_blitz_1,skchr,blitz,1,闪光护盾,フラッシュシールド,Flash Shield
skchr_blitz_2,skchr,blitz,2,突破防线,防衛線突破,Shield Bash
skchr_blkkgt_1,skchr,blkkgt,1,纯粹的武力,純粋なる力,Pure Force
skchr_blkkgt_2,skchr,blkkgt,2,无声的嘲笑,声なき嘲笑,Silent Derision
skchr_blkkgt_3,skchr,blkkgt,3,归于宁静,静寂に帰す,Return To Silence
skchr_blkngt_1,skchr,blkngt,1,半醒,うたた寝,Drowsy
skchr_blkngt_2,skchr,blkngt,2,安眠,深き眠り,Peaceful Slumber
skchr_bluep_1,skchr,bluep,1,二重射击·自动,ダブルショット,Twinshot - Auto
skchr_bluep_2,skchr,bluep,2,毒液散射,毒液装填,Venom Spray
skchr_bobb_1,skchr,bobb,1,非和平劝说,非友好的交渉,Nonpeaceful Negotiation
skchr_bobb_2,skchr,bobb,2,“此路不通”,「通行止め」,'You Shall Not Pass'
skchr_bpipe_2,skchr,bpipe,2,高效冲击,ハイパーインパクト,High-Impact Assault
skchr_bpipe_3,skchr,bpipe,3,闭膛连发,クローズドボルト連射,Locked Breech Burst
skchr_breeze_1,skchr,breeze,1,集束疗法,集中療法,Cluster Therapy
skchr_breeze_2,skchr,breeze,2,扩散疗法,拡散療法,Widespread Therapy
skchr_brigid_1,skchr,brigid,1,所熟知的,-,-
skchr_brigid_2,skchr,brigid,2,可驯服的,-,-
skchr_broca_1,skchr,broca,1,通电,ターンオン,Galvanize
skchr_broca_2,skchr,broca,2,高压电流,ハイボルテージ,High-Voltage Current
skchr_brownb_1,skchr,brownb,1,高机动,ウィービング,Flexibility
skchr_brownb_2,skchr,brownb,2,急速拳,ラッシュ,Soaring Fists
skchr_bryota_1,skchr,bryota,1,强力击·β型,強撃β,Power Strike β
skchr_bryota_2,skchr,bryota,2,土石的恒心,岩石の根気,Earthen Tenacity
skchr_bstalk_1,skchr,bstalk,1,定点指令,出動指令,Sentinel Command
skchr_bstalk_2,skchr,bstalk,2,“大家一起上”,「全員集合！」,'Everyone Together!'
skchr_bubble_2,skchr,bubble,2,“挨打”,「かかってこい！」,'Beaten Up'
skchr_buildr_2,skchr,buildr,2,工程者之愿,建築家の願い,Engineer's Wish
skchr_cammou_2,skchr,cammou,2,同步索敌攻击,同調索敵攻撃,Synchronized Attack
skchr_caper_1,skchr,caper,1,强力击·β型,強撃β,Power Strike β
skchr_caper_2,skchr,caper,2,乐趣加倍,ハピネス200％！,Double the Fun
skchr_catap_1,skchr,catap,1,爆破范围提升·α型,爆破範囲拡大α,Blast Range Up α
skchr_cathy_1,skchr,cathy,1,岁月锻打,歳月による鍛造,Wrought by Age
skchr_cathy_2,skchr,cathy,2,战火淬炼,戦火の焼き入れ,Tempered by War
skchr_ccheal_1,skchr,ccheal,1,活力再生,回復力促進,Vitality Restoration
skchr_ccheal_2,skchr,ccheal,2,活力再生·广域,回復力促進・広域,Vitality Restoration - Wide Range
skchr_cello_1,skchr,cello,1,“黄金的狂喜”,「黄金のエクスタシー」,'Golden Ecstasy'
skchr_cello_2,skchr,cello,2,“安魂的弥撒”,「鎮魂のミサ」,'Requiem Mass'
skchr_cello_3,skchr,cello,3,“自由的探戈”,「自由のタンゴ」,'Liberal Tango'
skchr_cement_1,skchr,cement,1,突破矿层,鉱脈突破,Stratum Groundbreaker
skchr_cement_2,skchr,cement,2,结构加固,構造強化,Structural Support
skchr_cerber_1,skchr,cerber,1,“很冰的斧”,「つめたいおの」,'Really Cold Axe'
skchr_cerber_2,skchr,cerber,2,“很热的刀”,「あついないふ」,'Really Hot Knives'
skchr_cerber_3,skchr,cerber,3,“很重的枪”,「おもたいやり」,'Really Heavy Spear'
skchr_cetsyr_1,skchr,cetsyr,1,往昔萦绕身旁,身に纏わる過去,The Past Lingering
skchr_cetsyr_2,skchr,cetsyr,2,明日渺远不及,未だ届かぬ明日,The Future Elusive
skchr_cetsyr_3,skchr,cetsyr,3,编织重构现世,紡ぎ直される現世,The Present Reconstructed
skchr_ceylon_1,skchr,ceylon,1,集中式水疗,ハイドロセラピー,Concentrated Hydrotherapy
skchr_ceylon_2,skchr,ceylon,2,水灵庇护,水霊の加護,Water Blessing
skchr_cgbird_2,skchr,cgbird,2,法术护盾,アーツシールド,Arts Shield
skchr_cgbird_3,skchr,cgbird,3,圣域,聖域,Sanctuary
skchr_chen2_1,skchr,chen2,1,高压冲击,高圧ショット,High-Pressure Splash
skchr_chen2_2,skchr,chen2,2,“堇青之夜”,バイオレットナイト,'Night of Violet'
skchr_chen2_3,skchr,chen2,3,“假日风暴”,ホリデーストーム,'Holiday Storm'
skchr_chen_1,skchr,chen,1,鞘击,鞘打ち,Sheathed Strike
skchr_chen_2,skchr,chen,2,赤霄·拔刀,赤霄・抜刀,Chi Xiao - Unsheath
skchr_chen_3,skchr,chen,3,赤霄·绝影,赤霄・絶影,Chi Xiao - Shadowless
skchr_chiave_2,skchr,chiave,2,火焰剥离,火炎剥離,Blazing Wire Stripper
skchr_chilc_1,skchr,chilc,1,开锁工具,ピッキングツール,Lockpicks
skchr_chilc_2,skchr,chilc,2,随机应变,臨機応変,Improvisation
skchr_chimes_2,skchr,chimes,2,乡心无改,郷思の念,Longing for Home
skchr_chnut_1,skchr,chnut,1,积微成著,積土成山,Little by Little
skchr_chnut_2,skchr,chnut,2,厚土迸发,厚土の脈動,Rising Earth
skchr_chyue_1,skchr,chyue,1,冲盈,満盈,Abundant
skchr_chyue_2,skchr,chyue,2,拂尘,払塵,Whisk
skchr_chyue_3,skchr,chyue,3,我无,我無,Anatta
skchr_clour_2,skchr,clour,2,双弦开弓,デュアルアロー,Double Shot
skchr_coldst_2,skchr,coldst,2,酣醉之夜,夜に酔いしれて,Party Night
skchr_cqbw_1,skchr,cqbw,1,红桃K,ハートのK,King of Hearts
skchr_cqbw_2,skchr,cqbw,2,惊吓盒子,びっくり箱,Jack in the Box
skchr_cqbw_3,skchr,cqbw,3,D12,D12,D12
skchr_crosly_1,skchr,crosly,1,尘烟蔽目,煙塵の目眩まし,Smoke and Mirrors
skchr_crosly_2,skchr,crosly,2,硝烟震爆,硝煙の爆震,Smokebomb Blast
skchr_crosly_3,skchr,crosly,3,烽烟行刑场,狼煙の処刑場,Smokescreen Execution
skchr_crow_1,skchr,crow,1,高速切割,ソニックスラッシュ,Rapid Slashing
skchr_crow_2,skchr,crow,2,收割,リーピング,Reap
skchr_ctable_1,skchr,ctable,1,观火,洞見,Penetrating Gaze
skchr_ctable_2,skchr,ctable,2,浮光,水光,Specular Reflection
skchr_ctrail_1,skchr,ctrail,1,紧急升空,緊急離陸,Emergency Take-Off
skchr_ctrail_2,skchr,ctrail,2,掠空飞翎,空を切る羽根,Skyswoop Shot
skchr_cutter_1,skchr,cutter,1,红移,レッドシフト,Redshift
skchr_cutter_2,skchr,cutter,2,绯红刺刀,スカーレットエッジ,Crimson Crescent
skchr_cuttle_2,skchr,cuttle,2,阻滞射击战术,脅威妨害戦術,Interdictive Sniping Tactics
skchr_dagda_1,skchr,dagda,1,反制技巧,カウンターテクニック,Counter Technique
skchr_dagda_2,skchr,dagda,2,精准捕杀,ハンティングタイム,Search and Destroy
skchr_deepcl_1,skchr,deepcl,1,光影之触,光陰ノ触,Shadow Tentacle
skchr_deepcl_2,skchr,deepcl,2,视觉陷阱,トロンプイユ,Visual Trap
skchr_delphn_1,skchr,delphn,1,“贯注”,「集中」,'Concentration'
skchr_delphn_2,skchr,delphn,2,“抢攻”,「制圧」,'Preemptive Strike'
skchr_demkni_1,skchr,demkni,1,急救,応急処置,First Aid
skchr_demkni_2,skchr,demkni,2,药物配置,薬剤配置,Medicine Dispensing
skchr_demkni_3,skchr,demkni,3,钙质化,硬質化,Calcification
skchr_doberm_1,skchr,doberm,1,强力击·β型,強撃β,Power Strike β
skchr_doberm_2,skchr,doberm,2,鞭策,鞭撻,Spur
skchr_doroth_1,skchr,doroth,1,危险目标清除,脅威排除,Dangerous Entity Removal
skchr_doroth_2,skchr,doroth,2,流沙区域生成,流砂生成,Quicksand Generation
skchr_doroth_3,skchr,doroth,3,高速共振排障,高周波共振,High-speed Resonating Troubleshooter
skchr_durnar_2,skchr,durnar,2,起盾回击,カウンターシールド,Shielded Counterattack
skchr_dusk_1,skchr,dusk,1,工笔入化,工筆入魂,Transcendental Stroke
skchr_dusk_2,skchr,dusk,2,泼墨淋漓,潑墨淋漓,Flowing Ink
skchr_dusk_3,skchr,dusk,3,写意胜形,写意攻苦,Image over Form
skchr_ebnhlz_1,skchr,ebnhlz,1,渐快急板,アッチェレランド,Quickening Presto
skchr_ebnhlz_2,skchr,ebnhlz,2,荒芜回响,旧日の残響,Desolate Echoes
skchr_ebnhlz_3,skchr,ebnhlz,3,寂静之声,無響の声,Sound of Silence
skchr_ela_1,skchr,ela,1,眩目阻滞,視界遮断,Optical Interference
skchr_ela_2,skchr,ela,2,震荡坚守,ショックディフェンス,Shock Defense
skchr_ela_3,skchr,ela,3,“博萨克风暴”,「ボサックテンペスト」,'The Bosak Tempest'
skchr_elysm_2,skchr,elysm,2,聆听,集音,Monitor
skchr_erato_1,skchr,erato,1,安眠旋律,安眠のメローディア,Lullaby's Meter
skchr_erato_2,skchr,erato,2,英雄赞歌,英雄へのイムヌス,Heroes' Paean
skchr_estell_2,skchr,estell,2,舍身突击,捨て身の覚悟,Sacrificial Strike
skchr_ethan_1,skchr,ethan,1,花式回旋,ループザループ,Fancy Maneuvers
skchr_ethan_2,skchr,ethan,2,十字悬挂,グラインドツイスター,Suspended Cross
skchr_etlchi_1,skchr,etlchi,1,玫影觅迹,-,-
skchr_etlchi_2,skchr,etlchi,2,绯红壁合,-,-
skchr_etlchi_3,skchr,etlchi,3,灵与欲的惜别,-,-
skchr_excu2_1,skchr,excu2,1,遗嘱执行,遺言の執行,Testament Exacted
skchr_excu2_2,skchr,excu2,2,近身铳斗,近接銃術,Close Combat
skchr_excu2_3,skchr,excu2,3,圣约决裁,聖約の裁き,Damnatus Ex Foedere
skchr_excu_1,skchr,excu,1,铳口收束,フルチョーク,Muzzle's Elegy
skchr_excu_2,skchr,excu,2,最终旅程,終焉の旅路,Final Journey
skchr_f12yin_1,skchr,f12yin,1,左勾扫拳,左鉤突き,Left Hook
skchr_f12yin_2,skchr,f12yin,2,横扫架势,猛虎の構え,Sweeping Stance
skchr_f12yin_3,skchr,f12yin,3,震地碎岩击,震地砕岩撃,Earth-Shattering Smash
skchr_fang2_1,skchr,fang2,1,贯敌刺枪,ペネトレイトスピア,Impaler Lance
skchr_fang2_2,skchr,fang2,2,执守阵线,前線維持,Stand Your Ground
skchr_fartth_2,skchr,fartth,2,同盟支援,戦術連携,Ally Support
skchr_fartth_3,skchr,fartth,3,光羽箭,フェザーアロー,Feathershine Arrows
skchr_finlpp_1,skchr,finlpp,1,治愈水波,ヒールウェーブ,Healing Waves
skchr_finlpp_2,skchr,finlpp,2,涌泉,ピュアスプリング,Lifespring
skchr_firwhl_1,skchr,firwhl,1,野火,ワイルドファイア,Wildfire
skchr_firwhl_2,skchr,firwhl,2,焦土,バーングラウンド,Scorched Earth
skchr_flameb_1,skchr,flameb,1,歃血,血化粧,Blood Pact
skchr_flameb_2,skchr,flameb,2,刃鬼,刃鬼,Blade Demon
skchr_flamtl_1,skchr,flamtl,1,迅敏直觉,俊敏なる直覚,Quick Intuition
skchr_flamtl_2,skchr,flamtl,2,“红松林”,「レッドパイン」,'Pinus Sylvestris'
skchr_flamtl_3,skchr,flamtl,3,焰心,フレイムハート,Flameheart
skchr_flint_1,skchr,flint,1,不息,ストマックブロー,Relentless
skchr_flint_2,skchr,flint,2,锋芒毕露,鳥舞蜂刺,Display of Might
skchr_flower_2,skchr,flower,2,精调,調香,Fine Blending
skchr_fmout_2,skchr,fmout,2,命运,運命,Destiny
skchr_folivo_1,skchr,folivo,1,保护色隐蔽,擬態化機能,Protective Camouflage
skchr_folivo_2,skchr,folivo,2,全景过载摄像,フルパノラマ撮影,Panoramic Overload
skchr_folnic_1,skchr,folnic,1,最大剂量输注,最大限度量投薬,Max-Dosage Infusion
skchr_folnic_2,skchr,folnic,2,复合型药物弹片,特製薬刃弾,Compound Drug Shell
skchr_forcer_1,skchr,forcer,1,护身射击,デタランスショット,Deterring Shot
skchr_forcer_2,skchr,forcer,2,惊爆射击,スタガリングショット,Staggering Shot
skchr_franka_2,skchr,franka,2,极致锋度,利剣の極致,Vorpal Edge
skchr_frncat_1,skchr,frncat,1,挠伤,ひっかき！,Scratch
skchr_frncat_2,skchr,frncat,2,炸毛,ねこのいかり,Fury
skchr_frostl_1,skchr,frostl,1,寒霜枪刃,降霜の刃,Frost Tomahawk
skchr_frostl_2,skchr,frostl,2,凝冰枪刃,氷結の刃,Ice Tomahawk
skchr_fuze_1,skchr,fuze,1,火力侦察,威力偵察,Force Recon
skchr_fuze_2,skchr,fuze,2,霰射炸药,クラスターチャージ,Cluster Charge
skchr_gdglow_1,skchr,gdglow,1,火花四溅,スパーキング,Scattering Sparks
skchr_gdglow_2,skchr,gdglow,2,电流翻涌,インパルスカレント,Surging Current
skchr_gdglow_3,skchr,gdglow,3,澄净闪耀,ゴールデングロー,Crystalline Shine
skchr_ghost2_1,skchr,ghost2,1,生存的技巧,生存の技巧,The Skill to Survive
skchr_ghost2_2,skchr,ghost2,2,生存的渴望,生への渇望,The Thirst to Survive
skchr_ghost2_3,skchr,ghost2,3,生存的重压,生からの重圧,The Pressure to Survive
skchr_ghost_2,skchr,ghost,2,肉斩骨断,肉斬骨断,Bone Fracture
skchr_glacus_1,skchr,glacus,1,双线装填,デュアルリロード,Binary Reload
skchr_glacus_2,skchr,glacus,2,反制电磁脉冲,電磁パルス,Counter EMP
skchr_glady_1,skchr,glady,1,缺水的大洋裂断,渇水の大洋裂断,Waterless Parting of the Great Ocean
skchr_glady_2,skchr,glady,2,缺水的掌握怒海,渇水の荒波掌握,Waterless Grasp of the Raging Seas
skchr_glady_3,skchr,glady,3,缺水的碎漩狂舞,渇水の乱渦狂舞,Waterless Dance of the Shattered Maelstrom
skchr_glassb_1,skchr,glassb,1,专心致志,一心不乱,Concentration
skchr_glassb_2,skchr,glassb,2,文学风暴,嵐より生まれしもの,Literature Storm
skchr_glaze_1,skchr,glaze,1,阻挡弹,妨害弾,Snaring Shell
skchr_glaze_2,skchr,glaze,2,雷达定位,全方位レーダー,Radar Sweep
skchr_glider_1,skchr,glider,1,精神护理,メンタルケア,Spiritual Care
